,id,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
398,399,26.0,0,3,0,1,0,0,0.0,41,0,28
399,400,27.0,7,6,6,0,0,0,6.0,0,8,29
400,401,26.0,1,5,1,1,0,0,5.0,0,6,28
401,402,26.0,10,2,2,0,0,0,2.0,0,4,28
402,403,,3,6,6,0,0,0,6.0,0,7,Dubai International Cricket Stadium
403,404,,0,7,0,1,0,0,7.0,0,4,Dubai International Cricket Stadium
404,405,27.0,2,5,5,0,0,0,5.0,0,7,29
405,406,26.0,1,7,1,1,0,0,1.0,93,0,28
406,407,27.0,5,10,10,0,0,0,5.0,72,0,29
407,408,,1,2,2,0,0,0,1.0,7,0,Dubai International Cricket Stadium
408,409,27.0,0,6,6,0,0,0,0.0,2,0,29
409,410,,10,7,10,1,0,0,10.0,4,0,Dubai International Cricket Stadium
410,411,,3,1,3,1,0,0,1.0,0,7,Dubai International Cricket Stadium
411,412,26.0,6,2,2,0,0,0,2.0,0,6,28
412,413,26.0,5,0,0,0,0,0,5.0,23,0,28
413,414,27.0,3,7,3,1,0,0,7.0,0,6,29
414,415,27.0,10,1,10,1,0,0,1.0,0,5,29
415,416,,6,5,5,0,0,0,5.0,0,5,Dubai International Cricket Stadium
416,417,26.0,2,0,2,1,1,0,2.0,0,0,28
417,418,,10,3,3,0,0,0,10.0,15,0,Dubai International Cricket Stadium
418,419,25.0,1,0,1,1,0,0,1.0,34,0,27
419,420,3.0,5,3,5,1,0,0,3.0,0,5,3
420,421,2.0,7,2,2,0,0,0,2.0,0,7,2
421,422,0.0,10,6,6,0,0,0,6.0,0,4,0
422,423,16.0,2,0,0,0,0,0,2.0,10,0,18
423,424,2.0,7,1,1,0,0,0,1.0,0,8,2
424,425,3.0,3,6,6,0,0,0,3.0,19,0,3
425,426,2.0,7,0,7,1,0,0,0.0,0,8,2
426,427,17.0,5,1,1,0,0,0,5.0,44,0,19
427,428,16.0,10,2,2,0,0,0,10.0,32,0,18
428,429,0.0,5,6,6,0,0,0,5.0,32,0,0
429,430,2.0,7,10,10,0,0,1,10.0,0,8,2
430,431,3.0,3,1,1,0,0,0,1.0,0,4,3
431,432,17.0,5,0,0,0,0,0,0.0,0,9,19
432,433,0.0,6,2,6,1,0,0,2.0,0,5,0
433,434,6.0,10,3,10,1,0,0,3.0,0,7,6
434,435,25.0,2,1,2,1,0,0,1.0,0,5,27
435,436,0.0,6,7,7,0,0,0,6.0,16,0,0
436,437,6.0,10,5,5,0,0,0,5.0,0,6,6
437,438,17.0,3,0,0,0,0,0,0.0,0,6,19
438,439,16.0,2,7,7,0,0,0,2.0,62,0,18
439,440,25.0,1,6,1,1,0,0,6.0,0,5,27
440,441,6.0,10,0,10,1,0,0,0.0,0,7,6
441,442,16.0,3,2,3,1,0,0,3.0,25,0,18
442,443,2.0,7,5,5,0,0,0,5.0,0,4,2
443,444,6.0,6,10,6,1,0,0,10.0,0,7,6
444,445,4.0,1,0,0,0,0,0,0.0,0,8,4
445,446,1.0,5,3,3,0,0,0,3.0,0,7,1
446,447,4.0,0,6,6,0,0,0,0.0,30,0,4
447,448,25.0,1,10,10,0,0,0,10.0,0,6,27
448,449,3.0,3,7,7,0,0,0,3.0,15,0,3
449,450,1.0,5,2,2,0,0,0,5.0,16,0,1
450,451,0.0,6,1,1,0,0,0,1.0,0,8,0
451,452,4.0,10,0,0,0,0,0,0.0,0,4,4
452,453,1.0,7,5,5,0,0,0,5.0,0,7,1
453,454,3.0,2,3,3,0,0,0,3.0,0,5,3
454,455,4.0,0,5,5,0,0,0,0.0,28,0,4
455,456,3.0,3,1,1,0,0,0,1.0,0,7,17
456,457,3.0,5,1,1,0,0,0,5.0,24,0,3
457,458,0.0,5,0,0,0,0,0,0.0,0,3,0
458,459,4.0,3,0,0,0,0,0,0.0,0,7,4
459,460,7.0,1,7,7,0,0,0,1.0,1,0,7
460,461,23.0,2,5,5,0,0,0,2.0,26,0,30
461,462,7.0,1,10,1,1,0,0,1.0,45,0,7
462,463,4.0,0,6,6,0,0,0,6.0,0,3,4
463,464,2.0,7,2,2,0,0,0,2.0,0,3,2
464,465,3.0,5,3,3,0,0,0,5.0,18,0,3
465,466,0.0,6,10,10,0,0,0,10.0,0,8,0
466,467,16.0,3,2,3,1,0,0,2.0,0,7,18
467,468,4.0,1,0,0,0,0,0,0.0,0,7,4
468,469,23.0,5,7,5,1,0,0,7.0,0,5,30
469,470,22.0,10,2,2,0,0,0,2.0,0,6,24
470,471,3.0,3,1,3,1,0,0,1.0,0,6,3
471,472,22.0,7,10,7,1,0,0,7.0,4,0,24
472,473,23.0,5,0,0,0,0,0,0.0,0,4,30
473,474,16.0,1,2,1,1,0,0,2.0,0,8,18
474,475,0.0,3,6,6,0,0,0,3.0,18,0,0
475,476,2.0,7,0,0,0,0,0,0.0,0,6,2
476,477,16.0,2,5,5,0,1,0,5.0,0,0,18
477,478,22.0,10,0,0,0,0,1,10.0,16,0,24
478,479,0.0,1,6,6,0,0,0,1.0,27,0,0
479,480,2.0,7,3,3,0,0,0,7.0,37,0,2
480,481,16.0,2,6,6,0,0,0,6.0,0,9,18
481,482,3.0,3,10,3,1,0,0,3.0,20,0,3
482,483,7.0,1,5,1,1,0,0,1.0,97,0,7
483,484,2.0,7,6,6,0,0,0,6.0,0,10,2
484,485,1.0,10,5,5,0,0,0,10.0,20,0,1
485,486,4.0,0,7,0,1,0,0,0.0,13,0,4
486,487,0.0,6,2,2,0,2,0,,0,0,0
487,488,7.0,1,0,0,0,0,0,1.0,2,0,7
488,489,2.0,5,7,7,0,0,0,7.0,0,9,2
489,490,3.0,3,2,2,0,0,0,3.0,8,0,3
490,491,0.0,0,6,6,0,0,0,6.0,0,7,0
491,492,6.0,10,1,1,0,0,0,10.0,22,0,6
492,493,1.0,3,5,3,1,0,0,3.0,23,0,1
493,494,3.0,2,7,7,0,0,0,2.0,14,0,17
494,495,7.0,1,6,1,1,0,0,1.0,24,0,7
495,496,4.0,0,10,10,0,0,0,0.0,35,0,4
496,497,3.0,7,3,7,1,0,0,3.0,0,5,3
497,498,0.0,6,5,5,0,0,0,6.0,138,0,0
498,499,3.0,10,2,2,0,0,0,10.0,7,0,17
499,500,7.0,1,3,1,1,0,0,3.0,0,6,7
500,501,4.0,5,0,5,1,0,0,0.0,0,1,4
501,502,24.0,10,7,10,1,0,0,10.0,6,0,26
502,503,3.0,6,3,6,1,0,0,6.0,39,0,3
503,504,7.0,1,2,1,1,0,0,1.0,12,0,7
504,505,6.0,10,5,10,1,0,0,10.0,5,0,6
505,506,24.0,1,7,1,1,0,0,7.0,0,6,26
506,507,1.0,5,6,6,0,0,0,5.0,22,0,1
507,508,3.0,3,0,0,0,0,0,3.0,5,0,3
508,509,6.0,10,6,10,1,0,1,6.0,0,6,6
509,510,1.0,5,1,5,1,0,0,1.0,0,7,1
510,511,3.0,2,0,2,1,0,0,2.0,9,0,17
511,512,0.0,7,6,6,0,2,0,,0,0,0
512,513,6.0,10,3,10,1,0,0,3.0,0,9,6
513,514,3.0,3,1,3,1,0,0,3.0,25,0,3
514,515,23.0,6,2,6,1,0,0,6.0,71,0,30
515,516,25.0,6,1,1,0,0,0,1.0,0,3,27
516,517,4.0,3,1,1,0,0,0,3.0,41,0,4
517,518,3.0,3,11,3,1,0,0,11.0,0,9,3
518,519,4.0,7,0,0,0,0,0,0.0,0,9,4
519,520,1.0,5,12,12,0,0,0,12.0,0,5,31
520,521,0.0,6,10,10,0,0,0,6.0,45,0,0
521,522,4.0,0,3,3,0,0,0,3.0,0,6,4
522,523,28.0,11,12,11,1,0,0,12.0,0,7,32
523,524,2.0,5,7,7,0,0,0,7.0,0,8,2
524,525,6.0,10,0,10,1,0,0,0.0,0,8,6
525,526,3.0,3,12,12,0,0,0,12.0,0,3,3
526,527,1.0,11,5,11,1,0,0,5.0,0,6,31
527,528,0.0,6,7,7,0,0,0,7.0,0,7,0
528,529,6.0,3,10,10,0,0,0,10.0,0,7,6
529,530,1.0,5,0,0,0,0,0,0.0,0,6,31
530,531,3.0,6,3,3,0,0,0,3.0,0,6,3
531,532,28.0,12,10,10,0,0,0,10.0,0,10,32
532,533,23.0,6,11,11,0,0,0,6.0,13,0,30
533,534,2.0,7,3,3,0,0,0,7.0,10,0,2
534,535,6.0,5,10,10,0,0,0,10.0,0,5,6
535,536,28.0,6,12,6,1,0,0,12.0,0,6,32
536,537,23.0,11,0,0,0,0,0,0.0,0,2,30
537,538,1.0,3,5,5,0,0,0,3.0,25,0,31
538,539,6.0,10,11,11,0,0,1,11.0,34,0,6
539,540,2.0,12,7,7,0,0,0,12.0,1,0,2
540,541,3.0,0,3,3,0,0,0,3.0,0,6,3
541,542,23.0,11,12,12,0,0,0,12.0,0,3,30
542,543,2.0,7,0,0,0,0,0,7.0,27,0,2
543,544,6.0,10,6,6,0,0,0,10.0,15,0,6
544,545,28.0,5,12,12,0,0,0,5.0,23,0,32
545,546,23.0,11,3,3,0,0,0,3.0,0,8,30
546,547,0.0,6,0,0,0,0,0,0.0,0,5,0
547,548,28.0,12,7,7,0,0,0,7.0,0,8,32
548,549,4.0,0,5,5,0,0,0,0.0,7,0,4
549,550,2.0,7,11,11,0,0,0,11.0,0,7,2
550,551,6.0,12,10,10,0,0,0,10.0,0,5,6
551,552,0.0,11,6,6,0,0,0,6.0,0,7,0
552,553,1.0,5,7,7,0,0,0,5.0,9,0,31
553,554,22.0,10,3,3,0,0,0,10.0,85,0,24
